(-12, -12) 1 0.72546 0.716204 0.713155 0.711636 0.710727 0.710122 0.70969 0.709367 0.709115 0.708914 0.708749 0.708612 0.708496 0.708397 0.708311 0.708236 0.708169 0.70811 0.708057 0.70801 0.707967 0.707928 0.707892 0.707859 0.707829 0.707801 0.707775 0.707752 0.707729 
(-12, -11) 1 0.726254 0.716594 0.713413 0.71183 0.710882 0.710251 0.7098 0.709463 0.709201 0.708991 0.708819 0.708676 0.708556 0.708452 0.708362 0.708284 0.708214 0.708153 0.708098 0.708048 0.708003 0.707962 0.707925 0.707891 0.70786 0.707831 0.707804 0.707779 0.707756 
(-12, -10) 1 0.727077 0.716998 0.713681 0.71203 0.711041 0.710384 0.709914 0.709563 0.709289 0.709071 0.708892 0.708743 0.708617 0.708509 0.708415 0.708333 0.708261 0.708197 0.708139 0.708088 0.708041 0.707998 0.70796 0.707924 0.707891 0.707861 0.707833 0.707807 0.707783 
(-12, -9) 1 0.727919 0.717411 0.713954 0.712234 0.711205 0.71052 0.710031 0.709664 0.70938 0.709152 0.708966 0.708811 0.708679 -0.708567 0.708469 0.708384 0.708309 0.708242 0.708182 0.708128 -0.70808 0.708035 0.707995 0.707958 0.707924 0.707892 -0.707863 0.707836 0.707811 
(-12, -8) 1 -0.728771 0.717828 0.71423 0.712441 0.71137 0.710657 0.710148 0.709767 0.709471 0.709234 0.70904 0.708879 0.708742 0.708625 0.708524 0.708435 0.708357 0.708288 0.708225 0.708169 0.708119 0.708073 0.708031 0.707992 0.707957 0.707924 0.707894 0.707866 0.707839 
(-12, -7) 1 0.729615 0.718241 0.714504 0.712645 0.711533 0.710793 0.710265 0.709869 0.709561 -0.709315 0.709114 0.708947 0.708805 0.708683 0.708578 0.708486 0.708405 0.708333 0.708268 0.70821 0.708157 0.70811 0.708066 0.708026 0.707989 0.707955 -0.707924 -0.707894 0.707867 
(-12, -6) 1 0.730431 0.71864 0.714768 0.712843 0.711691 0.710924 0.710377 0.709967 -0.709649 0.709394 0.709185 0.709012 0.708865 0.708739 0.70863 0.708535 0.708451 0.708376 0.708309 0.708249 -0.708195 0.708145 0.7081 0.708059 0.70802 0.707985 -0.707953 0.707922 0.707894 
(-12, -5) 1 0.731196 0.719014 0.715015 -0.713027 0.711838 -0.711047 0.710482 0.710059 0.70973 0.709467 0.709252 0.709073 0.708922 0.708792 0.708679 0.708581 0.708494 0.708417 0.708348 0.708286 0.70823 0.708178 0.708132 0.708089 0.70805 0.708013 0.70798 0.707949 0.70792 
(-12, -4) 1 0.731881 0.719348 0.715237 0.713193 0.71197 0.711156 0.710576 0.710141 0.709803 0.709533 0.709312 0.709128 0.708972 0.708839 0.708723 0.708622 0.708533 0.708453 0.708382 0.708318 0.708261 0.708208 0.70816 0.708116 0.708076 0.708039 0.708004 0.707972 0.707942 
(-12, -3) 1 0.732455 0.719628 0.715422 0.713331 0.71208 0.711248 0.710655 0.71021 0.709864 0.709588 0.709362 0.709174 0.709014 0.708878 0.70876 0.708656 0.708565 0.708484 0.708411 0.708346 0.708287 0.708233 0.708184 0.708139 0.708098 0.70806 0.708024 0.707992 0.707961 
